מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
Totals,,,,,,592,"14,502","9,116",10.1
111328-כרמי יהודה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,4,83,68,12.9
111393-נועם בנות ק.משה,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,3,80,79,18.0
"111450-גוונים מ""מ",קרית ארבע,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,1,11,11,4.0
112151-מצפה יריחו,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,1,21,4,2.5
112250-עשה חייל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,3,61,46,17.9
112516-מבוא חורון,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,1,22,11,4.5
"112953-אהבת ישראל (חרד""ל)",ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,2,46,17,3.1
113217-הר נוף ממד בנות,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,2,60,48,1.8
113324-בית-אל בנים,בית אל,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,3,73,10,1.8
113787-כוכב יעקב בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,2,23,11,1.6
114058-אריאל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,שולמית גיטל פרוינד,1,29,27,5.5
114173-אורות עציון בנים,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,4,96,1,1.0
114249-אורות עציון בנות,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,3,63,60,21.6
118042-אום טובא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,4,99,60,1.9
118067-אחמד סאמח אלחלדי,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,ווסים רישק,3,60,0,0.0
118125-טור מכין לבנים,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,כאלד ראשיד,2,43,39,1.0
118133-טור מכין לבנות,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,מנאל פתיאני,3,90,85,3.9
118158-איבן אל-היית'ם,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אסאמה סביטאני,7,157,27,3.8
118208-סלואן מכין לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,פאטמה פתיחה,3,72,26,2.3
118240-צור באהר מכין,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,עארף אבו חאמד,3,96,94,13.6
118281-שעפט לבנות א,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,סוזאן כטיב,4,104,3,1.0
118299-אלתורי לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מהא סלמן,4,101,55,5.7
118307-עמריה,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,נפיסה סעידה,3,47,31,5.0
118331-מולויה לבנות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,נהיל אבו סרור,2,47,35,2.8
140012-אולפנא תורנית חורב,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עודד עוזיאל מיזליש,5,133,114,9.9
140038-עירוני דתי רוטשילד,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שולמית אייזקס,2,48,36,8.4
140046-עירוני ג',ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,רננה אורון,3,44,19,4.3
140053-אקדמיה למוסיקה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אילנה אוריצקי,2,43,39,2.5
140061-תכון ליד האוניברסיטה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,ארז הקר,7,176,142,7.3
140079-הגמנסיה העברית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עופר טס,6,141,40,13.7
140087-רנה קסין דרכא,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,שגיא כהן,4,87,1,6.0
"140103-תיכון ע""ש בויאר",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דפנה מנשה-ברוך,3,100,88,6.3
140129-קרית נוער ירושלים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אביחי חרזי,4,83,1,3.0
140137-ישיבת נתיב מאיר,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,משה מאיר וייס,3,55,4,4.3
140145-ישיבת חורב,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יצחק דור,4,96,5,1.4
"140186-תורני ע""ש פ. הימלפרב",ירושלים,העיר ירושלים,יהודי,אריה משה מארק,שלמה דנינו,5,131,94,3.7
140202-עתיד שחר בית שמש,בית שמש,ירושלים,יהודי,תמר אודס,אלינור ביטון,3,58,45,41.7
140236-תורני נסויי בנות פלך,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יעל-סופי פפר,4,102,75,2.6
140277-מדרשיית עמליה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יעל פרגון,2,41,14,5.8
140491-אולפנת צביה ירושלים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,עירית הלוי,1,32,28,3.3
140665-אולפנא לבנות,קרית ארבע,ירושלים,יהודי,יעקב עמר,שילה דגנית הלוי,4,77,71,3.6
"140723-מקיף ע""ש זיו",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורן לאלו,6,174,132,4.4
140731-מקיף גילה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אייל רייכמן,3,57,41,16.9
140806-תיכון לאומנויות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תומר בליטי דגן,4,92,55,2.1
"140855-חט""ב מבשרת",מבשרת ציון,ירושלים,יהודי,ציפי יעקב,גליה שניידר,9,261,213,12.6
140863-עמל דקל וילנאי,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,דינה זייצב,7,177,134,10.5
140871-תיכון גבעת גונן,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אוהד הופמן,3,58,35,1.8
"140889-חט""ב בנים קרית ארבע",קרית ארבע,ירושלים,יהודי,יעקב עמר,מנחם סעדיה,3,71,56,18.3
"140939-ישיבת בנ""ע מטה בנימין",מטה בנימין,ירושלים,יהודי,יעקב עמר,נסים ניצן ימין,4,83,3,2.0
140962-עירוני מסורתי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,יאיר אלברטון,3,50,47,12.5
140970-אולפנא עופרה,מטה בנימין,ירושלים,יהודי,יעקב עמר,אביה זאב ששר,7,136,107,5.9
"141002-חט""ב יצחק רבין",גבעת זאב,ירושלים,יהודי,ציפי יעקב,מזל רחל שמש,1,27,25,9.8
